"id","breed","weight","temperament","origin","description","image"
"3f9a4d3a-8b3d-4fb7-96d0-9b081cfe6db6","Abyssinian","3.2 - 5.4 kg","Active, Curious, Energetic","Ethiopia","The Abyssinian is an active and playful breed with a curious nature. They love to explore their surroundings and are often seen climbing and jumping. They are loyal to their owners and enjoy interactive play.","https://example.com/abyssinian.jpg"
"6d0973f6-3f2c-49aa-ba18-5a094777bf15","Bengal","4.5 - 9 kg","Alert, Agile, Energetic","United States","The Bengal cat is known for its wild appearance with distinctive markings and sleek coat. They are highly active and agile, requiring lots of physical and mental stimulation. Bengals are social and can develop strong bonds with their families.","https://example.com/bengal.jpg"
"c8ef49ca-3bde-49fb-a491-4736a70277c5","Ragdoll","4 - 9 kg","Affectionate, Friendly, Gentle","United States","Ragdolls are known for their gentle and laid-back personality. They are affectionate and enjoy being held and cuddled. Ragdolls are great companions and can adapt well to indoor living.","https://example.com/ragdoll.jpg"
"8ed3da4a-7434-4b07-b89b-2c0e80a6a2a4","Siamese","3 - 5 kg","Intelligent, Vocal, Social","Thailand","Siamese cats are highly intelligent and vocal. They are social and enjoy interacting with their human family members. Their striking blue almond-shaped eyes are a hallmark of the breed.","https://example.com/siamese.jpg"
"a5b9f0b6-3cb6-4a45-97a2-e004a94e1dfb","Persian","3.2 - 7.3 kg","Calm, Friendly, Independent","Iran","Persians are known for their long, luxurious fur and calm demeanor. They are generally independent but also appreciate attention from their owners. Regular grooming is essential to maintain their coat's beauty.","https://example.com/persian.jpg"
"38ad301f-6cc5-4e50-919c-c6424002b214","Sphynx","3 - 5.5 kg","Friendly, Inquisitive, Lively","Canada","The Sphynx is a hairless cat breed known for its friendly and inquisitive nature. Despite their lack of fur, they are warm to the touch and require regular bathing to keep their skin clean.","https://example.com/sphynx.jpg"
"773c703d-93b6-4eb1-9142-42e93b5cbe05","Maine Coon","5.9 - 8.2 kg","Gentle, Intelligent, Friendly","United States","The Maine Coon is a large and friendly cat breed. They have tufted ears, bushy tails, and a thick, water-resistant coat. Maine Coons are affectionate and get along well with other pets.","https://example.com/mainecoon.jpg"
"5708014c-28c5-4c69-b110-b84e7b46c4f6","British Shorthair","4 - 7 kg","Easygoing, Laid-back, Affectionate","United Kingdom","The British Shorthair is a calm and easygoing breed. They have a dense coat and come in various colors and patterns. British Shorthairs are known for their affectionate nature and get along well with children and other pets.","https://example.com/britishshorthair.jpg"
"e41df4b3-0c23-48a9-a7b6-2569f77fcde7","Birman","3.2 - 5.4 kg","Docile, Affectionate, Gentle","Myanmar","The Birman, also known as the Sacred Cat of Burma, has striking blue eyes and a semi-long silky coat. They are gentle and affectionate, often following their owners around the house.","https://example.com/birman.jpg"
"12667163-6ab2-4b65-8b06-1d06a7381935","Scottish Fold","3.2 - 6 kg","Sweet-natured, Easygoing","Scotland","The Scottish Fold is known for its unique folded ears that give it an owl-like appearance. They have a sweet and easygoing temperament and enjoy cuddling with their owners.","https://example.com/scottishfold.jpg"
